LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,avg_bill_amt,max_bill_amt,std_bill_amt,avg_pay_amt,max_pay_amt,std_pay_amt,avg_pay_delay,max_pay_delay,num_delayed_months,utilization_current,avg_utilization,payment_to_bill_ratio_1,avg_payment_to_bill_ratio,recent_bill_change,recent_payment_change,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
0.0,0.08472586,0.0,0.0,0.0,0.22601019,0.0,0.0,0.0,0.0,0.0,0.076631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015281651,0.4033098,0.0,0.0,0.0,0.0,0.0,0.023771308,0.0,0.0,0.0,0.11620519,0.0,0.0,0.0,0.0,0.054064423
0.0,0.0,0.0,0.0,0.24011874,0.0,0.070816234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00661625,0.33737916,0.0,0.0,0.15408419,0.0,0.0,0.043152176,0.0,0.0,0.0,0.0,0.0,0.07420007,0.0,0.07363311,0.0,0.0,0.0,0.0,0.0
0.5715941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080569714,0.0,0.0,0.0,0.0,0.0,0.0,0.10557822,0.0,0.0,0.11789001,0.12436789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013328944,0.0,0.0,0.0,0.0,0.0,0.0,0.11165583,0.06549267,0.0,0.20050369,0.41553098,0.0,0.031326983,0.06548729,0.0,0.08160974,0.0,0.0,0.015063831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008005212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119581,0.1649294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115107216,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018786578,0.0,0.0,0.0,0.0,0.0,0.0,0.12961507,0.046190187,0.0,0.21421625,0.38017806,0.0,0.03623584,0.027975285,0.0,0.14680272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022258407,0.0,0.0,0.0,0.0,0.01732892,0.0,0.0,0.0,0.0,0.08357709,0.0,0.30634803,0.13306876,0.0,0.14962223,0.02289678,0.0,0.0,0.0049068686,0.035162207,0.0,0.0,0.03784753,0.1601779,0.0,0.02680527,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079111,0.0,0.0,0.17262998,0.0,0.0,0.0,0.16352661,0.0,0.0,0.1883264,0.30146906,0.0,0.0,0.0,0.0,0.044479046,0.0,0.0,0.0,0.0,0.0087777935,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.018475272,0.0,0.0,0.019968837,0.0,0.0,0.09442474,0.0,0.17351474,0.0,0.0,0.0,0.0,0.11493231,0.0,0.0,0.15625809,0.26598603,0.047404796,0.080425486,0.0,0.0,0.02860968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.12924476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031879272,0.19634937,0.043798216,0.0,0.18589196,0.0,0.0,0.09098953,0.06132128,0.20107211,0.0,0.0,0.0,0.0,0.0,0.059453513,0.0,0.0,0.0,0.0,0.0
